TransactionId,CustId,TransactionType,TransactionAmount
1,73899,debit,43752
1000001,81325,debit,42857
2000001,96798,debit,11909
3000001,81954,credit,44088
4000001,27816,debit,40282
5000001,9794,debit,15902
6000001,99263,credit,45599
7000001,24035,credit,30398
8000001,41841,debit,5795
9000001,11778,debit,5126
10000001,49863,credit,4212
11000001,27203,debit,48564
12000001,76159,credit,9934
13000001,45777,credit,14406
14000001,46921,debit,29096
15000001,88903,debit,21101
16000001,84013,credit,9525
17000001,9456,debit,40315
18000001,35090,credit,34471
19000001,16143,credit,15699
20000001,60998,debit,1573
21000001,11482,credit,19205
22000001,35440,credit,25213
23000001,12826,debit,43683
24000001,71770,credit,10948
25000001,27482,credit,28353
26000001,5169,debit,11266
27000001,88988,debit,25279
28000001,69874,debit,41492
29000001,19550,debit,14911
30000001,55608,credit,44133
31000001,86169,credit,32201
32000001,80313,credit,31570
33000001,46897,credit,22553
34000001,43143,debit,30570
35000001,50666,credit,48377
36000001,87003,credit,25114
37000001,93077,debit,47460
38000001,98183,credit,21851
39000001,28195,credit,25993
40000001,7743,debit,13124
41000001,46961,debit,11900
42000001,26235,debit,43275
43000001,24645,debit,17456
44000001,93568,credit,47249
45000001,72879,credit,39936
46000001,36899,credit,29290
47000001,10074,debit,19071
48000001,71147,credit,19604
49000001,88748,credit,6810
50000001,19194,debit,10594
51000001,45923,credit,47980
52000001,93521,debit,9865
53000001,45613,debit,15618
54000001,39010,debit,11010
55000001,16439,credit,7937
56000001,62376,debit,18415
57000001,40208,credit,27572
58000001,79731,credit,46369
59000001,51569,debit,4382
60000001,88061,debit,28878
61000001,17680,debit,35608
62000001,56913,debit,19459
63000001,59689,credit,26115
64000001,84384,debit,47880
65000001,62106,credit,24759
66000001,31251,credit,32414
67000001,14614,credit,17880
68000001,32980,credit,19543
69000001,30083,credit,26160
70000001,80101,credit,20766
71000001,75306,debit,36081
72000001,86405,credit,7521
73000001,72902,credit,6490
74000001,91047,credit,5130
75000001,13981,credit,12267
76000001,43985,credit,11285
77000001,16982,credit,6039
78000001,7432,debit,13559
79000001,58860,debit,3093
80000001,73591,debit,31684
81000001,9518,credit,22762
82000001,68048,debit,32478
83000001,17930,debit,1810
84000001,49722,credit,2133
85000001,68441,credit,45667
86000001,81253,debit,42981
87000001,46120,credit,12066
88000001,53180,credit,18870
89000001,47671,credit,39737
90000001,50860,debit,45530
91000001,83685,credit,44349
92000001,52819,debit,20793
93000001,48815,debit,33170
94000001,91818,credit,14281
95000001,63142,debit,31568
96000001,40450,debit,181
97000001,63815,credit,30312
98000001,80029,debit,39308
99000001,83985,credit,49650
100000001,86987,debit,44890
101000001,72600,debit,47604
102000001,5070,debit,7872
103000001,83655,debit,23870
104000001,79871,debit,24494
105000001,28146,debit,6727
106000001,66527,credit,25048
107000001,62671,credit,46226
108000001,94087,credit,5062
109000001,76610,debit,1804
110000001,34960,debit,22977
111000001,58796,credit,27277
112000001,84452,credit,32046
113000001,827,credit,3470
114000001,83148,debit,36214
115000001,90234,credit,28649
116000001,97390,debit,15650
117000001,86595,debit,8919
118000001,32335,credit,25990
119000001,10504,credit,18394
120000001,4610,debit,41057
121000001,37365,debit,30638
122000001,57337,credit,45241
123000001,99036,debit,40566
124000001,21383,debit,6225
125000001,64503,debit,37577
126000001,24582,credit,40249
127000001,15946,debit,37253
128000001,84431,debit,43027
129000001,32630,debit,6294
130000001,65746,debit,18728
131000001,31843,debit,8695
132000001,39246,debit,24133
133000001,49669,credit,49066
134000001,49734,debit,43631
135000001,77402,credit,19935
136000001,33519,credit,33753
137000001,66253,credit,4364
138000001,72808,debit,43618
139000001,5527,credit,45158
140000001,17034,debit,26769
141000001,35387,credit,2479
142000001,51721,debit,7841
143000001,40841,credit,16629
144000001,43058,debit,20112
145000001,62352,credit,1193
146000001,30140,credit,7875
147000001,79888,credit,36667
148000001,30215,credit,2385
